RID	Regulator	Target	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
RID00001	LINC00313	miR-4429	NA	NA	0.10449	-0.022	NA	0.00602	-0.09885	0.04809	0.00962	0.02124	NA	-0.0053	0.03233	0.01028	-0.00999	-0.03029	-0.03697	-0.01108	NA	-0.00988	NA	NA	0.03106	NA	0.03272	NA	0.10928	-0.12538	-0.02526	NA	0.0055	NA	NA
RID00002	FAM83H-AS1	CDKN1A	0.36642	0.05489	0.13601	0.24562	-0.06822	0.0272	0.33974	0.16955	0.04804	0.0991	0.08877	0.06241	0.0587	-0.11688	-0.13781	0.04045	0.07033	0.03988	-0.06325	0.3218	0.1015	-0.04088	-0.0516	-0.04048	-0.06664	0.10983	0.19698	0.37998	0.18672	0.44067	0.23433	-0.10476	0.2983
RID00003	NEAT1	TGFB1	0.09422	-0.03636	0.10716	-0.12684	-0.01901	-0.07317	0.33228	-0.13012	0.24155	0.052	0.06814	-0.05513	0.05003	0.32753	0.48656	0.09454	0.04615	0.0956	-0.23952	0.11358	0.09415	0.23231	0.07406	0.08792	-0.05588	-0.119	-0.05163	0.35971	0.10919	0.11962	-0.14434	0.0699	0.21472
RID00004	NEAT1	ZEB1	-0.08694	-0.08361	0.10424	-0.05298	-0.02593	0.46191	0.32334	0.03075	-0.00385	-0.13997	-0.18215	-0.00994	0.12695	0.26951	-0.28586	0.13043	0.25715	0.03061	0.15868	0.0861	-0.19758	-0.00623	-0.06681	0.15348	0.11679	-0.0171	0.00274	0.34495	-0.02008	-0.043	0.15013	-0.06689	0.16399
RID00005	ZFPM2-AS1	MIF	0.23557	0.13665	-0.06569	0.0307	-0.12063	-0.13013	-0.15349	0.04843	0.12455	-0.02421	0.11977	-0.00292	0.02666	-0.22756	0.01713	0.11095	-0.02855	0.25064	-0.19607	-0.02448	0.19813	0.0723	-0.1782	-0.14731	-0.01445	-0.08114	-0.01667	-0.31242	-0.06247	-0.13896	-0.20366	0.16849	0.00793
RID00006	SNHG1	miR-448	NA	-0.00241	-0.00748	NA	NA	NA	-0.01501	0.07503	NA	0.01037	NA	0.01274	NA	NA	0.04312	NA	-0.03392	-0.04567	NA	-0.06399	NA	NA	0.03185	NA	0.04494	-0.04908	0.04372	NA	0.00423	-0.03423	0.01681	NA	NA
RID00007	SNHG1	IDO1	0.16426	-0.08145	0.19394	-0.08272	0.15889	0.03403	-0.03116	-0.02556	-0.15161	0.05404	0.37742	0.04877	0.25439	-0.05585	-0.05028	0.05724	0.03177	0.02143	-0.16032	-0.01426	0.02233	-0.17606	0.06842	0.05317	-0.02906	-0.07205	0.06193	-0.09831	-0.10659	-0.11377	-0.06416	-0.1692	-0.05089
RID00008	LINC00222	GSK3B	-0.00979	0.13485	0.13328	0.13572	0.42542	0.08314	0.12684	0.02392	0.37204	0.25921	0.41291	0.08261	0.2084	0.31726	0.1484	0.09495	0.15502	0.22397	0.11734	0.28468	0.19339	0.3332	0.37924	-0.04772	0.03235	0.16445	0.15773	0.00896	0.27085	0.38037	0.17537	0.20611	0.30864
RID00009	TP73-AS1	CASP3	0.28363	0.00177	0.04637	-0.02488	0.27183	0.02509	-0.10074	0.05109	0.25371	0.12426	0.29763	0.18735	0.27559	0.18739	0.58649	0.39867	0.14266	0.16459	0.13606	0.42183	0.14491	0.29841	0.38532	-0.15446	0.08561	0.12143	0.02181	0.31861	0.43257	0.18954	0.16929	0.22916	0.52781
RID00010	TP73-AS1	CASP9	0.43853	0.09736	0.54903	0.17675	0.26395	0.24532	0.05491	0.08178	0.23832	0.29353	0.13113	0.4968	0.5703	0.2979	-0.24648	0.32377	0.29036	0.39768	0.50648	0.67022	0.38969	0.0842	0.52298	0.10202	0.15946	0.13376	0.34409	0.48582	0.6861	0.38129	0.26972	0.7101	0.70809
RID00012	FEZF1-AS1	PKM	-0.03564	0.02652	0.00951	-0.11035	0.07689	0.13597	-0.01097	-0.16971	0.16172	-0.12812	0.09498	-0.07404	0.06456	-0.08799	0.21159	0.07912	-0.02507	-0.09133	0.01921	0.18159	0.07444	0.00911	0.09821	0.00193	-0.10861	0.02676	0.15709	0.0961	0.24233	0.07169	0.04387	0.11347	0.60402
RID00013	DANCR	MMP9	-0.09643	-0.0413	-0.01347	-0.11393	-0.20574	-0.12571	-0.34053	-0.14859	-0.06821	-0.0813	0.43818	0.26337	-0.14049	-0.14313	-0.04069	0.11593	-0.11679	-0.12868	0.08093	-0.04454	0.15396	-0.12546	-0.12533	-0.25157	-0.02235	-0.09641	-0.04057	-0.15258	-0.24825	-0.2054	-0.08204	0.19833	-0.18506
RID00016	CCAT1	BMI1	-0.04617	0.00771	0.01008	-0.01563	-0.00023	0.10275	0.06066	0.09155	0.34804	0.17646	0.21291	-0.01835	0.07886	0.23241	0.17271	0.15905	0.02271	-0.0498	0.06612	0.39531	0.16648	0.15071	0.05996	0.23034	0.062	0.354	0.22117	-0.16541	0.33891	-0.01419	-0.02593	-0.09533	0.61835
RID00017	GAS5	miR-301a	NA	-0.04401	-0.02278	-0.03474	NA	-0.10561	-0.07417	0.09071	-0.00735	0.02536	-0.0468	0.04223	0.12616	-0.01124	0.00857	0.0418	-0.07354	-0.06235	0.07638	0.06465	-0.07805	-0.03352	0.01988	NA	-0.06628	0.06324	-0.03991	-0.0554	0.03984	0.02418	-0.01748	0.01327	0.20293
RID00019	CRNDE	CDKN1A	0.13733	-0.02414	0.05285	-0.05893	0.16408	-0.01102	-0.15308	-0.01091	-0.10868	-0.27669	-0.01151	0.02693	0.17311	-0.00732	0.07023	-0.06736	-0.10474	-0.11016	-0.06213	0.12088	0.12444	0.05297	-0.09545	-0.25856	0.03976	-0.0678	0.05955	-0.03752	0.12744	-0.31453	0.21892	0.00975	0.00194
RID00020	LINC00858	CDK14	-0.13448	0.01937	-0.0358	0.07272	-0.14155	-0.04923	0.00608	-0.11932	-0.04011	0.00547	0.02217	0.10218	0.01886	0.03105	3e-04	0.04151	-0.17987	0.03514	0.03342	0.09829	-0.08183	0.02518	0.13328	0.05494	0.19526	0.04084	-0.01495	-0.1278	-0.0059	0.59205	0.05522	-0.0743	0.26837
RID00021	HOTAIR	ZEB1	-0.09277	0.06523	0.023	0.01513	-0.10649	0.01009	0.35805	-0.09712	0.09311	-0.01465	0.26432	0.15537	0.11577	0.15169	-0.06603	0.18982	-0.06967	-0.03276	-0.11355	0.23593	-0.04211	0.05675	0.09429	0.08765	0.11196	0.21949	-0.07983	0.34385	0.06103	-0.10499	0.28784	0.35744	-0.05257
