RID	Regulator	Target	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
RID00001	LINC00313	miR-4429	NA	NA	0.00041	0.70154	NA	0.89273	0.50384	0.5157	0.90093	0.62835	NA	0.90173	0.58283	0.89141	0.81778	0.55929	0.39039	0.80397	NA	0.83815	NA	NA	0.48569	NA	0.59732	NA	0.02582	0.11887	0.56819	NA	0.89684	NA	NA
RID00002	FAM83H-AS1	CDKN1A	9e-04	0.26515	0	1e-05	0.6926	0.54192	0.01815	0.02104	0.53387	0.02355	0.47844	0.14526	0.31835	0.11921	0.00141	0.43547	0.10193	0.3716	0.56056	0	0.17639	0.58164	0.2466	0.60351	0.28156	0.01699	5e-05	0	2e-05	0	0	0.43802	0.0072
RID00003	NEAT1	TGFB1	0.40886	0.46062	0.00029	0.02651	0.91238	0.10052	0.02103	0.07751	0.00151	0.23563	0.58669	0.1984	0.39517	1e-05	0	0.06782	0.28347	0.03189	0.02546	0.01847	0.20997	0.00151	0.09609	0.25857	0.36674	0.00966	0.29349	0	0.01334	0.19314	0.00063	0.60537	0.05579
RID00004	NEAT1	ZEB1	0.44614	0.0893	0.00042	0.35566	0.88066	0	0.02498	0.67772	0.96029	0.00135	0.14325	0.81683	0.03039	0.00026	0	0.01158	0	0.49291	0.14212	0.07449	0.00802	0.93315	0.13338	0.04768	0.05856	0.71091	0.95565	1e-05	0.64996	0.64101	0.00037	0.62106	0.14607
RID00005	ZFPM2-AS1	MIF	0.03662	0.00535	0.02644	0.59269	0.48341	0.0034	0.29761	0.51267	0.10561	0.58108	0.33814	0.94567	0.65061	0.00219	0.6929	0.03194	0.50709	0	0.06874	0.61274	0.00785	0.32942	6e-05	0.05747	0.81558	0.07823	0.73461	7e-05	0.15772	0.13013	0	0.21026	0.94436
RID00006	SNHG1	miR-448	NA	0.96099	0.80068	NA	NA	NA	0.91935	0.31007	NA	0.81318	NA	0.76648	NA	NA	0.32	NA	0.43059	0.30619	NA	0.18537	NA	NA	0.47469	NA	0.46802	0.28732	0.37377	NA	0.92388	0.71052	0.69188	NA	NA
RID00007	SNHG1	IDO1	0.14802	0.09791	0	0.14888	0.35465	0.4454	0.8335	0.72979	0.04843	0.2177	0.00178	0.25524	1e-05	0.45773	0.24606	0.26955	0.46045	0.63124	0.13798	0.76816	0.76674	0.01682	0.12425	0.495	0.63898	0.11801	0.20747	0.22211	0.01573	0.21599	0.13007	0.20831	0.65393
RID00008	LINC00222	GSK3B	0.93177	0.00599	1e-05	0.01753	0.00969	0.0619	0.3903	0.74655	0	0	0.00057	0.05371	0.00034	2e-05	0.00058	0.06661	0.00029	0	0.27909	0	0.00949	0	0	0.5403	0.60143	0.00033	0.00125	0.91165	0	2e-05	3e-05	0.124	0.00534
RID00009	TP73-AS1	CASP3	0.01131	0.97129	0.1173	0.6647	0.10877	0.57378	0.49571	0.48977	0.00084	0.00446	0.01522	1e-05	0	0.01201	0	0	0.00087	0.00021	0.20891	0	0.05293	4e-05	0	0.04626	0.16628	0.00827	0.6573	5e-05	0	0.03814	6e-05	0.0864	0
RID00010	TP73-AS1	CASP9	5e-05	0.04775	0	0.00191	0.11982	0	0.71086	0.26842	0.00175	0	0.29395	0	0	5e-05	0	0	0	0	0	0	0	0.25581	0	0.18955	0.00959	0.0036	0	0	0	2e-05	0	0	0
RID00012	FEZF1-AS1	PKM	0.7552	0.59048	0.74806	0.05382	0.65581	0.0022	0.94103	0.02092	0.03512	0.00337	0.44807	0.08389	0.27231	0.2415	0	0.12664	0.56024	0.04041	0.85982	0.00015	0.32201	0.90236	0.02718	0.9802	0.07872	0.56202	0.00131	0.23272	0	0.4365	0.30088	0.40066	0
RID00013	DANCR	MMP9	0.39787	0.40197	0.64939	0.04646	0.22865	0.00467	0.01787	0.04353	0.37677	0.06343	0.00023	0	0.01648	0.05595	0.34802	0.02496	0.00649	0.00381	0.45615	0.35685	0.03963	0.0897	0.00475	0.00104	0.71823	0.03627	0.40913	0.05723	0	0.02441	0.05276	0.13916	0.10029
RID00016	CCAT1	BMI1	0.68617	0.87564	0.7337	0.78541	0.99895	0.02092	0.6821	0.2152	0	5e-05	0.08609	0.66882	0.17975	0.00174	6e-05	0.00203	0.59776	0.26448	0.5429	0	0.02593	0.04114	0.17811	0.00275	0.31653	0	1e-05	0.03905	0	0.87772	0.54099	0.48057	0
