DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Papillary thyroid carcinoma	LINC00313	miR-4429	negatively-F	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	tumorigenesis(+)	sponge	binding/interaction	RNA-RNA	NA	NA	NA	Cancer	Thyroid cancer	lncRNA	miRNA	ENSG00000185186	GRCh38_21:43461960-43479534	NA	NA	114038	NA	C21orf84|CH507-42P11.5|NCRNA00313	NA	Long noncoding RNA LINC00313 modulates papillary thyroid cancer tumorigenesis via sponging miR-4429	29940766	RID00001	ceRNA or sponge
Malignant glioma	FAM83H-AS1	CDKN1A	negatively-E	RIP;RNA pull-down assay;western blot;ChIP	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell cycle(+)	epigenetic regulation	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Brain glioma	lncRNA	PCG	ENSG00000203499	GRCh38_8:143734140-143746337	ENSG00000124762	NA	100128338	1026	onco-lncRNA-3	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	Long noncoding RNA FAM83H-AS1 exerts an oncogenic role in glioma through epigenetically silencing CDKN1A (p21).FAM83H-AS1 could epidemically silence CDKN1A expression through recruiting EZH2 to the promoter of CDKN1A;thereby influencing the cell cycle and proliferation	29870057	RID00002	epigenetic regulation
Hepatocellular carcinoma	NEAT1	TGFB1	positively-E	luciferase reporter assay;RIP;RNA pull-down assay	upregulation	qRT-PCR	NA	NA	cancer progression(+)	ceRNA(miR-139-5p)	association	NA	NA	NA	NA	Cancer	Liver cancer	lncRNA	PCG	ENSG00000245532	GRCh38_11:65422774-65445540	ENSG00000105329	NA	283131	7040	LINC00084|NCRNA00084|TncRNA|VINC	CED|DPD1|IBDIMDE|LAP|TGFB|TGFbeta	NEAT1 upregulates TGF-beta1 to induce hepatocellular carcinoma progression by sponging hsa-mir-139-5p.	29797561	RID00003	ceRNA or sponge
Breast cancer	NEAT1	ZEB1	positively-E	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cancer progression(+);cell growth(+);cell migration(+);cell invasion(+)	ceRNA(miR-448)	regulation	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Breast cancer	lncRNA	TF	ENSG00000245532	GRCh38_11:65422774-65445540	ENSG00000148516	NA	283131	6935	LINC00084|NCRNA00084|TncRNA|VINC	AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A	NEAT1 contributes to breast cancer progression through modulating miR-448 and ZEB1.Overexpression of NEAT1 can induce breast cancer cell growth, migration, and invasion by inhibiting miR-448 and upregulating ZEB1	29323713	RID00004	ceRNA or sponge
Gastric cancer	ZFPM2-AS1	MIF	positively-F	mass spectrometry;western blot;RNA pull-down assay;RIP	upregulation	qPCR;microarray;sequencing	GSE1279;TCGA	GSE1279.zip;STAD.zip	cancer progression(+);p53 signaling pathway(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Genome Instability and Mutation	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000251003	GRCh38_8:105546089-106060524	ENSG00000240972	NA	102723356	4282	SCAT3	GIF|GLIF|MMIF	ZFPM2-AS1, a novel lncRNA, attenuates the p53 pathway and promotes gastric carcinogenesis by stabilizing MIF;tumor-activated ZFPM2-AS1 could bind to and protect the degradation of macrophage migration inhibitory factor (MIF);Knockdown of MIF expression diminished ZFPM2-AS1's impact on p53 expression in gastric cancer cells.	29985481	RID00005	interact with protein
Breast cancer	SNHG1	miR-448	positively-E	RIP;RNA pull-down assay	upregulation	qRT-PCR	NA	NA	cell differentiation(+);immune evasion(+)	transcriptional regulation	binding/interaction	RNA-RNA	NA	NA	Evading Immune Detection	Cancer	Breast cancer	lncRNA	miRNA	ENSG00000255717	GRCh38_11:62851984-62855953	NA	NA	23642	NA	LINC00057|NCRNA00057|U22HG|UHG|lncRNA16	NA	LncRNA SNHG1 regulates the differentiation of Treg cells and affects the immune escape of breast cancer via regulating miR-448/IDO.SNHG1 directly contacted with miR-448, which could negatively regulate IDO;Interference SNHG1 could inhibit the differentiation of Treg cells by promoting miR-448 expression and reducing IDO level, thereby impeding the immune escape of BC.	29886172	RID00006	transcriptional regulation
Breast cancer	SNHG1	IDO1	positively-E	luciferase reporter assay;RIP;RNA pull-down assay	upregulation	qRT-PCR	NA	NA	cell differentiation(+);immune evasion(+)	ceRNA(miR-448)	regulation	NA	NA	NA	Evading Immune Detection	Cancer	Breast cancer	lncRNA	PCG	ENSG00000255717	GRCh38_11:62851984-62855953	ENSG00000131203	NA	23642	3620	LINC00057|NCRNA00057|U22HG|UHG|lncRNA16	IDO|IDO-1|INDO	LncRNA SNHG1 regulates the differentiation of Treg cells and affects the immune escape of breast cancer via regulating miR-448/IDO.SNHG1 directly contacted with miR-448, which could negatively regulate IDO;Interference SNHG1 could inhibit the differentiation of Treg cells by promoting miR-448 expression and reducing IDO level, thereby impeding the immune escape of BC.	29886172	RID00007	ceRNA or sponge
Lung adenocarcinoma	LINC00222	GSK3B	positively-E	RNAi	downregulation	qRT-PCR	NA	NA	apoptosis process(+);WNT signaling pathway(+);cell proliferation(-);cell migration(-);cell invasion(-)	NA	regulation	NA	NA	NA	Evading Apoptosis;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Lung cancer	lncRNA	PCG	ENSG00000203801	GRCh38_6:108751654-108769942	ENSG00000082701	NA	387111	2932	C6orf181|NCRNA00222|dJ354J5.2	NA	Long non-coding RNA LINC00222 regulates GSK3beta activity and promotes cell apoptosis in lung adenocarcinoma;overexpression of LINC00222 enhanced the activity of glycogen synthase kinase-3beta(GSK3beta), which is a key element of the Wnt signaling pathway;Enforced expression of LINC00222 significantly inhibited the proliferation, migration and invasive ability of lung adenocarcinoma cells	29990868	RID00008	expression association
Cholangiocarcinoma	TP73-AS1	CASP3	positively-E	RNAi	upregulation	qRT-PCR	NA	NA	apoptosis process(-);cell migration(+);cell invasion(+)	NA	association	NA	NA	NA	Evading Apoptosis;Tissue Invasion and Metastasis	Cancer	Cholangiocarcinoma	lncRNA	PCG	ENSG00000227372	GRCh38_1:3735511-3747373	ENSG00000164305	NA	57212	836	KIAA0495|PDAM	CPP32|CPP32B|SCA-1	Enhanced expression of lncRNA TP73-AS1 predicts adverse phenotypes for cholangiocarcinoma and exerts oncogenic properties in vitro and in vivo.silencing of TP73-AS1 facilitates apoptosis via activating caspase-3 and caspase-9;TP73-AS1 could also facilitate migration and invasion potential of CCA cells;TP73-AS1 transcription is enhanced in both CCA tissue samples and cell lines, and this upregulation is closely associated with larger tumor size (p=0.008) and advanced TNM stage	29966969	RID00009	expression association
Cholangiocarcinoma	TP73-AS1	CASP9	positively-E	RNAi	upregulation	qRT-PCR	NA	NA	apoptosis process(-);cell migration(+);cell invasion(+)	NA	association	NA	NA	NA	Evading Apoptosis;Tissue Invasion and Metastasis	Cancer	Cholangiocarcinoma	lncRNA	PCG	ENSG00000227372	GRCh38_1:3735511-3747373	ENSG00000132906	NA	57212	842	KIAA0495|PDAM	APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56	Enhanced expression of lncRNA TP73-AS1 predicts adverse phenotypes for cholangiocarcinoma and exerts oncogenic properties in vitro and in vivo.silencing of TP73-AS1 facilitates apoptosis via activating caspase-3 and caspase-9;TP73-AS1 could also facilitate migration and invasion potential of CCA cells;TP73-AS1 transcription is enhanced in both CCA tissue samples and cell lines, and this upregulation is closely associated with larger tumor size (p=0.008) and advanced TNM stage	29966969	RID00010	expression association
